Nº	Padre do Deserto	Sentença
363	Abade Macário	Eu ainda não me tornei monge, mas vi monges — dois homens nus que há quarenta anos viviam no deserto profundo, sem sentir frio no inverno nem calor no verão. Eles me disseram: Se não podes fazer o mesmo que nós, senta-te em tua cela e chora os teus pecados.
364	Abade Macário	"Vi Satanás sob forma de homem, trajando uma túnica de linho perpassada de furos, dos quais pendiam pequenos vasos de tentações para os irmãos. Disse-me: Se um não agradar a alguém, apresentarei outro; e, se também este não agradar, apresentarei um terceiro."
365	Abade Macário	"Ao retornar depois de visitar Teopempto, o demônio confessou: Todos os irmãos são cruéis para comigo; e o maior mal é que também aquele que eu tinha como amigo obediente tornou-se o mais cruel de todos. Jurei não andar mais por aqueles lugares."
366	Abade Macário	Quando o Abade Antão viu a grande quantidade de cordame que eu havia tecido durante a noite, exclamou: Muita força procede dessas mãos.
367	Abade Macário	"Quando virdes uma cela construída perto do pântano, sabei que a devastação de Cétia está próxima; quando virdes árvores, a devastação estará às portas; quando virdes meninos, tomai os vossos mantos e retirai-vos."
368	Abade Macário	"Não foi por causa de mim que isto aconteceu, pois nada sou; mas foi por causa da viúva e dos órfãos que Deus o fez. Deus quer que a alma esteja sem pecado; e, se ela é tal, recebe tudo o que pede."
369	Abade Macário	"Doze anos servi ao meu Senhor para que me desse a graça de receber todos com simplicidade; e todos vós me aconselhais que a rejeite?"
370	Abade Macário	Se houver vinho, bebe por causa dos irmãos, e, em troca de um cálice de vinho, deixa de beber água durante o dia. Em toda mortificação, há lógica interior.
371	Abade Macário	O lenho que revira os gravetos em combustão é todo consumido pelo fogo. Assim também se o homem purifica a sua mente pelo temor de Deus, o próprio temor de Deus consome o corpo dele.
372	Abade Macário	Ao dormir em templo pagão usando um caixão como travesseiro, quando os demônios chamavam a outros dizendo: levanta-te, eu com muita coragem batia o esqueleto e dizia: Levanta-te e vai para as trevas, se podes. Eles fugiram confusos.
373	Abade Macário	Quando estava exausto de carregar cestos e disse a Deus que não podia ir mais longe, imediatamente me encontrei à beira do rio.
374	Abade Macário	Fujam, irmãos. E quando perguntaram: para onde? Coloquei o dedo nos lábios e disse: Fujam isto — e entrei na cela.
375	Abade Macário	Se, ao repreender alguém, és movido à ira, satisfazes a própria paixão. Não é perdendo a ti mesmo que salvarás os outros.
376	Abade Macário	"Ao encontrar um ladrão saqueando minha cela, ajudei-o a carregar o camelo e disse: Nada trouxemos para este mundo; é evidente que também nada podemos levar. O Senhor deu; como Ele quis, assim se fez."
377	Abade Macário	Não é preciso falar muito na oração, mas estender as mãos e dizer: Senhor, como queres e como sabes, compadece-te. Ou, se estiveres tentado: Senhor, vem em meu socorro. Ele mesmo sabe o que convém.
378	Abade Macário	Se guardamos a recordação dos males que nos são acarretados pelos homens, extinguimos a eficácia da recordação de Deus. Se, porém, conservamos a lembrança dos males causados pelos demônios, somos invulneráveis.
379	Abade Macário	Vai para junto do túmulo e insulta os mortos... Agora, vai e louva esses mortos... Assim também tu, se queres ser salvo, torna-te morto: como os mortos, não consideres nem as injúrias dos homens nem os seus louvores. Assim poderás ser salvo.
380	Abade Macário	O que procuras já desapareceu dentre os monges.
381	Abade Macário	Choremos, irmãos, e que os nossos olhos derramem lágrimas antes que nos vamos para aquele lugar em que as nossas lágrimas consumirão de fora os nossos corpos.
382	Abade Macário	"Os demônios disseram: Tudo que vós tendes, também nós o temos; apenas pela humildade diferis de nós, e prevaleceis sobre nós."
383	Abade Macário	"Foge dos homens; senta-te em tua cela e chora os teus pecados. E não tenhas prazer na conversa com os homens. Assim serás salvo."
384	Abade Nilo	O que quer que faças para te vingares do irmão que te injuriou, isso tudo voltará ao teu coração no tempo da oração.
385	Abade Nilo	A oração é gérmen de mansidão e de carência de ira.
386	Abade Nilo	A oração é defesa contra tristeza e desânimo.
387	Abade Nilo	Tudo que suportares sabiamente, recolherás disso o fruto no tempo de oração.
388	Abade Nilo	"Se queres rezar como deves, não deixes que a tristeza se apodere de tua alma; se deixas, é em vão que corres."
389	Abade Nilo	Não queiras que as tuas coisas corram como te parece bem, mas como agrada a Deus. Assim serás isento de perturbação e agradável em tua oração.
390	Abade Nilo	Feliz é o monge que se julga o rebotalho de todos.
391	Abade Nilo	O monge que ama o retiro, fica ileso dos dardos do inimigo. Aquele, porém, que se junta às multidões, recebe golpes contínuos.
392	Abade Poimém	Poimém, ainda vives? Vai, senta-te em tua cela e coloca em teu coração a ideia de que já há um ano que jazes no sepulcro.
393	Abade Poimém	Nada tenho que ver, pois morri. Ora o morto não fala.
394	Abade Poimém	Para que grande ancião e eu não conflitemos: Preparai pequenas porções de alimento, tomai uma medida de vinho, e vamos ter com o ancião. Talvez assim lhe possamos dar agrado.
395	Abade Poimém	"Havia dois homens, os quais tinham cada qual um morto em sua casa; um deles deixou o seu morto para ir chorar o do outro. Assim também tu deixas teus próprios pecados para julgar os alheios."
396	Abade Poimém	O sinal do monge se manifesta nas tentações.
397	Abade Poimém	Glória a Deus pelo pecador que sabe que pecou e, sem negar, diz: pequei. Pois, se a ele disseres: não percas o ânimo, mas guarda-te para o futuro, excitarás sua alma à penitência.
398	Abade Poimém	Se o homem pecar e o negar, dizendo: não pequei, não o acuses, pois lhe cortarias o ânimo. Se, ao contrário, lhe disseres: não percas ânimo, irmão, mas guarda-te para o futuro, excitarás a sua alma à penitência.
399	Abade Poimém	O homem que ensina, mas não pratica o que ensina, é semelhante a uma fonte: a todos oferece com que beber e se lavar, mas a si mesma não pode purificar.
400	Abade Poimém	Há o homem que parece calado, mas cujo coração condena os outros — esse tal está sempre a falar. E há outro que fala da manhã à noite, mas guarda o silêncio, isto é, nada diz que não seja de edificação.
401	Abade Poimém	Refrear-se, vigiar sobre si mesmo, e usar de discernimento — estas três virtudes são as guias da alma.
402	Abade Poimém	Prostrar-se em presença de Deus, não se comparar, e atirar para trás a vontade própria — são instrumentos de que se serve a alma.
403	Abade Poimém	A vitória sobre qualquer pena que te sobrevenha é calar-se.
404	Abade Poimém	Todo repouso do corpo é abominação aos olhos do Senhor.
405	Abade Poimém	A compunção tem dois elementos: ela impele e também refreia.
406	Abade Poimém	A distração é o começo dos males.
407	Abade Poimém	Preferirá calar-se o homem que se lembre do que está escrito: Pelas tuas palavras serás justificado, e pelas tuas palavras serás condenado.
408	Abade Poimém	Se três se reúnem, dos quais um leva dignamente uma vida tranquila, o outro é doente e dá graças a Deus, o terceiro faz o seu serviço com mente pura — esses três realizam um só e idêntico grau de virtude.
409	Abade Poimém	Como o espadeiro do rei a este assiste pronto em todo tempo, assim é preciso que a alma esteja pronta diante do demônio da fornicação.
410	Abade Poimém	Se o homem se arrepende de todo o coração e não torna a cometer o pecado, Deus o recebe já após três dias.
411	Abade Poimém	Antes de ir para o Ofício, sentava-se a sós, ficando a examinar os seus pensamentos durante cerca de uma hora. Depois disto é que se punha a caminho.
412	Abade Poimém	A experiência ensina ao homem honesto.
413	Abade Poimém	Ainda que o homem faça um céu novo e uma nova terra, nunca poderia ficar sem tentações.
414	Abade Poimém	"O que é não retribuir o mal pelo mal? Esse vício tem quatro modalidades: a primeira provém do coração; a segunda, da vista; a terceira, da língua; e a quarta é não fazer o mal em troca do mal."
415	Abade Poimém	"Não habites em lugar onde vês que alguns têm inveja de ti; senão, não progredirás."
416	Abade Poimém	Os pensamentos que não executamos com o nosso corpo, no decorrer do tempo extinguem-se ou apodrecem. Como vestes fechadas num baú, apodrecem com o tempo.
417	Abade Poimém	Não dês a mão aos pensamentos e eles serão frustrados — as tentações não nos podem ser nocivas, enquanto não lhes prestamos nossa cooperação.
418	Abade Poimém	Como o cervo no deserto devora muitas serpentes e depois deseja as fontes das águas, assim também os monges são queimados pelo veneno dos maus demônios e desejam o sábado e o domingo para se chegarem ao Corpo e ao Sangue do Senhor, a fim de se purificarem.
419	Abade Poimém	Quero que todos comam diariamente, mas pouco, de modo a não ficarem saciados. Esta é a via régia, porque suave.
420	Abade Poimém	Um homem deve incessantemente respirar a humildade e o temor de Deus do mesmo modo que inala e expele o ar através das narinas.
421	Abade Silvano	Pode um homem, todos os dias, dar um início à vida boa? Respondeu: Se ele for diligente, pode todos os dias e a cada hora começar a vida boa de novo.
422	Abade Silvano	Fui arrebatado ao céu e vi a glória de Deus. E lá permaneci até agora, e agora fui mandado de volta.
423	Pai Abraão	Vai e pratica primeiro o que está escrito, depois volte e eu escreverei o restante.
424	Pai Abraão	Falou corretamente sobre desprezar as próprias asceses passadas. Pois agora já lhe é possível levantar as duas mãos a fim de que o trigo cresça com abundância pelo mundo inteiro e pedir a Deus que perdoe os pecados de toda esta geração.
425	Pai Ammoes	É por receio que, após tão edificantes palavras, sobrevenham conversas irrelevantes, que eu não permito que caminhes comigo.
426	Pai Ammoes	Vi monges fugindo, deixando suas celas lavadas e também seus pergaminhos, sem nem fechar as janelas. Portanto nada de tristeza pelas coisas materiais.
427	Abade Antônio	O abade Antônio disse ao abade Amon: Tu terás muito progresso no temor de Deus. Depois o mandou insultar uma pedra. Como a pedra não respondeu, o ancião disse: Assim também tu deves alcançar esta perfeição e imaginar que ninguém te ofende.
428	Abade Antônio	A casa deles não tem portas: entra quem quer na estalagem e solta o burro! — falava assim dos irmãos que diziam tudo o que lhes vinha à cabeça.
429	Abade Antônio	A grande obra do homem é atirar a culpa sobre si mesmo diante de Deus e esperar a tentação até o último sopro de sua vida.
430	Pai Arsênio	Nas noites de sábado, preparando-se para a glória do domingo, virava-se de costas para o sol e elevava as mãos em oração em direção ao céu, até que o sol novamente brilhasse em sua face. Então se sentava.
431	Pai Arsênio	Realmente aprendi Grego e Latim, mas não sei nem ao menos o alfabeto desse camponês egípcio — falando das virtudes práticas adquiridas pelos simples pelo labor.
432	Pai Arsênio	Senhor, mostra-me a estrada que conduz à salvação.
433	Pai Arsênio	Diziam dele que havia como que uma depressão escavada em seu peito pelas lágrimas que caíram de seus olhos durante toda sua vida.
434	Pai Arsênio	Na verdade, se alguém permanece na paz e ouve o grito de um passarinho, o seu coração não possui a paz. Pior ainda sois vós, que sois agitados como esses caniços.
435	Pai Evágrio	O início da salvação é condenar-se a si mesmo.
436	Pai Evágrio	Retirem-se as tentações e ninguém será salvo.
437	Pai Evágrio	Se te foge a coragem, reza. Reza com temor e tremor, com ardor, sobriedade e vigilância. Assim deve-se rezar, sobretudo por causa dos nossos inimigos invisíveis, que nos armarão ciladas exatamente neste ponto.
438	Pai Amon	Suporta todo homem assim como Deus te suporta.
439	Pai Apolo	Vou trabalhar com Cristo hoje, pela salvação de minha alma, pois esta é a recompensa que Ele dá.
440	Pai Bessarião	"Deus está aqui; Deus está em todo lugar."
441	Abade Epifânio	"Conhece-te a ti mesmo e nunca cairás. Dá trabalho à tua alma — a oração contínua e o amor de Deus — antes que alguém a leve a maus pensamentos; e reza para que o espírito do erro se afaste de ti."
442	Pai Gregório	Que a tua obra seja pura pela presença do Senhor e não pela exibição.
443	Pai Isidoro	Quando eu era mais jovem e permanecia em minha cela, não punha limites à oração: a noite era para mim tempo de oração tanto quanto o dia.
444	Pai Isidoro de Pelúsia	"Prezem as virtudes e não sejam escravos da glória; pois as primeiras são imortais enquanto que as últimas logo se desvanecem."
445	Pai Isidoro, o sacerdote	Se você jejua regularmente, não se encha de orgulho. Se você se vangloria por causa do jejum, então é melhor que coma carne. É melhor para um homem comer carne do que se inflar com orgulho e gloriar-se de si mesmo.
446	Pai João, o Anão	Gostaria de ser livre de todos os cuidados, como os anjos, que não trabalham, mas prestam culto a Deus incessantemente.
447	Pai João, o Anão	Sou como um homem sentado debaixo de uma grande árvore que vê bestas selvagens e serpentes vindo contra ele. Quando não pode mais, corre e sobe na árvore e se salva. É a mesma coisa comigo: quando não tenho forças contra os pensamentos maus, busco refúgio em Deus pela oração e sou salvo do inimigo.
448	Pai João, o Anão	Senhor, dai-me força para a luta.
449	Pai João, o Anão	Pusemos a carga leve de um lado, que é a auto-acusação, e nos carregamos com um grande peso, que é a auto-justificação.
450	Pai João, o Anão	Humildade e temor de Deus estão acima de todas as virtudes.
451	Pai João, o Anão	Vigiar significa sentar-se na cela e estar sempre presente a Deus. Isto é o que significa o dito: eu vigiava, e Deus veio até mim.
452	Pai João, o Anão	Uma casa não é construída do topo para baixo. Deve-se começar com a fundação. A fundação é nosso próximo, a quem devemos ganhar, e este é o lugar para começar. Pois todos os mandamentos de Cristo dependem desse um.
453	Pai João, o Anão	Mesmo que sejamos completamente desprezados aos olhos dos homens, alegremo-nos, pois somos honrados aos olhos de Deus.
454	Pai João, o Anão	Dizia-se que certa vez ele teceu corda para uma cesta até o teto sem perceber, pois seu espírito estava absorto em profunda contemplação.
455	Pai Macário	"Perguntaram a Pai Macário: Como devemos rezar? O ancião disse: Não é necessário fazer grandes discursos; é suficiente erguer as mãos e dizer: Senhor, como desejas e como conheces, tenha piedade. E se o conflito crescer, digam: Senhor, ajuda! Ele sabe muito bem o que precisamos."
456	Pai Macário	Ao encontrar um homem saqueando seus bens, ajudou-o a carregar o animal e disse: Não trouxemos nada para este mundo, e não podemos levar nada. Assim o despediu com grande paz.
457	Abade Pastor (Poemen)	Quaisquer que sejam teus sofrimentos, a vitória sobre eles está no silêncio.
458	Abade Pastor (Poemen)	O homem deve incessantemente respirar a humildade e o temor de Deus do mesmo modo que inala e expele o ar através das narinas.
459	Abade Pastor (Poemen)	Prostrar-se diante de Deus, não dar-se nenhuma importância, jogar fora a própria vontade: eis os instrumentos com os quais a alma pode trabalhar.
460	Abade Pastor (Poemen)	Desprezar-se a si mesmo consiste em rebaixar-se abaixo dos animais e saber que eles não serão condenados.
461	Abade Pastor (Poemen)	A humildade é a terra que o Senhor requisitou para realizar o sacrifício.
462	Abade Pastor (Poemen)	A hesychia, a oração, o amor e a temperança são o quádruplo coche que eleva aos céus a inteligência.
463	Abade Pastor (Poemen)	"Se não podes prender o vento, muito menos podes impedir o surgimento dos pensamentos maus; mas o que podes fazer é resistir-lhes."
464	Abade Pastor (Poemen)	Um machado pode gloriar-se de alguma coisa sem aquele que o usa? Pois bem: não cultives esses pensamentos e ficarão sem efeito em ti.
465	Abade Pastor (Poemen)	Aquele que lamenta sempre e somente a si mesmo pode viver em qualquer lugar. Mas, se se glorifica, então não se dará bem em lugar algum.
466	Abade Pastor (Poemen)	A alma não alcança a humildade em nada se não lhe racionares o pão, isto é, se não a reduzires a alimentar-se apenas do necessário.
467	Abade Pastor (Poemen)	O início do mal é não ouvir.
468	Madre Sinclética	No começo, há luta e muito trabalho para os que se aproximam de Deus. Mas, depois disso, há uma indescritível alegria.
469	Madre Sinclética	Assim como para acender uma fogueira no início há muita fumaça e seus olhos lacrimejam, assim devemos acender o fogo divino em nós mesmos com lágrimas e esforço.
470	Madre Sinclética	"É possível ser solitário em sua própria mente mesmo no meio de uma multidão; e é possível para um solitário viver na multidão de seus próprios pensamentos."
471	Abade Moisés	O fim último da nossa profissão é o reino de Deus ou dos céus. Quanto ao nosso escopo, é a pureza de coração, sem a qual é impossível alguém alcançar aquele fim.
472	Abade Moisés	"Não é tão grande o lucro do jejum quanto os dispêndios da ira; nem tanto o fruto que se colhe com a leitura quanto o dano que sofremos com o desprezo de um irmão."
473	Abade Moisés	É impossível, sem dúvida, que a mente não seja perturbada por pensamentos. Mas a quem se empenha, é possível acolhê-los ou rejeitá-los.
474	Abade Moisés	O reino de Deus não virá de modo visível... o reino de Deus está dentro de vós.
475	Pai Doroteus	À medida que as pessoas aproximam-se do centro — Deus — com seu amor, através dessa mesma medida elas se aproximam entre si. Ao contrário, quanto mais as pessoas se afastam entre si com desavenças, simultaneamente mais elas se distanciam de Deus.
476	São Macário o Grande	A alma que ama sinceramente a Deus, mesmo que tenha realizado milhares de boas obras, devido à sua insatisfeita ansiedade por Deus, considera a si própria como se nunca tivesse realizado nada.
477	São João Clímaco	O monge é aquele que está separado de todos e unido a todos.
478	Abade Thalassius	Um desejo totalmente voltado para Deus religa a Deus e religa entre si àqueles que desejam.
479	Abade Thalassius	Aquele que abençoa de boca e menospreza em seu coração esconde a hipocrisia sob o véu do amor.
480	Abade Thalassius	Só o amor une a criação a Deus e os seres entre si na concórdia.
481	Abade Thalassius	O amor e a temperança purificam a alma, mas a oração pura ilumina a inteligência.
482	Abade Thalassius	Se queres vencer os pensamentos apaixonados, adquire a temperança e o amor ao próximo.
483	Abade Thalassius	Da mesma maneira que não se pode sentir perfumes na lama, não é possível sentir em uma alma rancorosa o bom odor do amor.
484	Abade Thalassius	O trabalho oculto suprime a vanglória, e não menosprezar ninguém rechaça o orgulho.
485	Abade Thalassius	A hesychia, a oração, o amor e a temperança são o quádruplo coche que eleva aos céus a inteligência.
486	Abade Thalassius	A obra própria da inteligência é sempre estudar as palavras de Deus.
487	Abade Thalassius	A apatheia é a imobilidade da alma face a face do mal. É impossível alcançá-la sem a compaixão do Cristo.
488	São Gregório	Deus exige três coisas de todo homem que recebeu o batismo: a fé direita para a alma, a franqueza para a língua, a castidade para o corpo.
489	Abade Zacarias	Em minha opinião, é em tudo se fazer violência — eis o monge.
490	Abade Teodoro de Farméia	Observava acima de muitos outros estes três princípios: a pobreza, a ascese, a fuga dos homens.
491	Abade João o Nanico	Ao te levantares a cada manhã, recomeça a perseguir as virtudes com grande perseverança. Suporta a injúria sem te pores em cólera. Encerra-te no sepulcro como se já fosses morto.
492	Abade José de Tebas	"Aos olhos de Deus, três castas de gentes são honradas: em primeiro os doentes que padecem as tentações e aceitam os males rendendo ações de graças; em segundo os de ação pura diante de Deus; enfim os que permanecem na submissão do pai espiritual."
493	Abade João (Higúmeno)	Jamais fiz minha própria vontade e nada ensinei que antes não houvesse eu mesmo praticado.
494	Abade Nisteros o Grande	Ao que quer que aspires na alma segundo Deus, fá-lo e guarda teu coração.
495	Abade Pastor (Poemão)	A pobreza, as provações e a discrição são as três obras da vida solitária. Se essas três obras se encontram num homem, Deus habita nele.
496	Abade Pastor (Poemão)	Se o monge odeia duas coisas, liberta-se deste mundo: o bem-estar e a vã glória.
497	Abade Pambo	"Desde que estou neste deserto, não me lembra ter comido pão sem havê-lo ganho com minhas mãos; nem até agora ter lamentado uma palavra dita."
498	Abade Sisóes	Reputa-te por nada, lança tua vontade atrás de ti, permanece sem preocupações — e repousarás.
499	Abade Chamé	Não habiteis com os heréticos, não tenhais relações com os grandes, não estendais as mãos para receber mas antes para dar.
500	Um Ancião	Se alguém possui a humildade e a pobreza e não julga os outros, o temor de Deus virá sobre ele.
501	Abade Euprépios	Que o temor, a humildade, a privação de alimento e o pentos — tristeza pelos pecados — façam morada em ti.
502	Um Ancião	Não faças a outrem o que detestas. Basta observar esta palavra para ser salvo.
503	Um Ancião	"A vida do monge é o trabalho, a obediência e a meditação; é não julgar, nem reclamar, nem murmurar. Seus olhos são cegos para o mal."
504	Um Ancião	"Ora a Deus para que te meta no coração o pentos e a humildade. Não tenhas familiaridade com mulheres, nem com crianças, nem com heréticos. Detém a língua e o apetite; priva-te do vinho."
